metric,n_classes,H_stat,p_value,Istotny
nmi,2,4.3400000000000105,0.11417761691083587,Nie
nmi,3,2.780000000000001,0.24907530463166805,Nie
nmi,4,2.8799999999999955,0.23692775868212226,Nie
nmi,5,2.8799999999999955,0.23692775868212226,Nie
nmi,10,2.1799999999999997,0.33621649370673345,Nie
nmi,20,2.0600000000000023,0.3570069605691471,Nie
nmi,50,9.780000000000001,0.007521422474993261,Tak
ari,2,6.540000000000013,0.03800642707517407,Tak
ari,3,2.8799999999999955,0.23692775868212226,Nie
ari,4,3.1400000000000006,0.20804518235702038,Nie
ari,5,3.1400000000000006,0.20804518235702038,Nie
ari,10,1.460000000000008,0.4819089900902004,Nie
ari,20,2.3400000000000034,0.3103669412654844,Nie
ari,50,9.379999999999995,0.009186686156244689,Tak
silhouette,2,8.780000000000001,0.012400729220443395,Tak
silhouette,3,9.620000000000005,0.008147859697679966,Tak
silhouette,4,9.14,0.010357959717613692,Tak
silhouette,5,11.060000000000002,0.003965989089091061,Tak
silhouette,10,10.820000000000007,0.00447164021134832,Tak
silhouette,20,12.5,0.0019304541362277095,Tak
silhouette,50,12.5,0.0019304541362277095,Tak
dbi,2,7.740000000000002,0.020858369425214702,Tak
dbi,3,9.979999999999997,0.006805664492230557,Tak
dbi,4,9.620000000000005,0.008147859697679966,Tak
dbi,5,12.5,0.0019304541362277095,Tak
dbi,10,11.18,0.0037350278646880674,Tak
dbi,20,12.5,0.0019304541362277095,Tak
dbi,50,12.5,0.0019304541362277095,Tak
