metric,n_classes,model,W_stat,p_value,normal
nmi,2,autoencoder,0.7819488541618108,0.05728036184720838,Tak
nmi,2,cmae,0.7767690411710902,0.051695606404632374,Tak
nmi,2,masked_autoencoder,0.8357679138143892,0.15355939502746063,Tak
nmi,3,autoencoder,0.898052643555017,0.39921628159254763,Tak
nmi,3,cmae,0.879584908507315,0.3074342313180465,Tak
nmi,3,masked_autoencoder,0.8110745817978986,0.09944710258057143,Tak
nmi,4,autoencoder,0.943038082006556,0.6874897847134394,Tak
nmi,4,cmae,0.9048140374634469,0.4370618416759228,Tak
nmi,4,masked_autoencoder,0.7332272338649837,0.020659509415511153,Nie
nmi,5,autoencoder,0.9129956703048568,0.4858002459234174,Tak
nmi,5,cmae,0.955291592499372,0.7748764480009882,Tak
nmi,5,masked_autoencoder,0.9485035137443316,0.7264937414182564,Tak
nmi,10,autoencoder,0.9604199040384033,0.8109043137000633,Tak
nmi,10,cmae,0.9697135379265466,0.8734118484707475,Tak
nmi,10,masked_autoencoder,0.9318794814245378,0.6092423349822529,Tak
nmi,20,autoencoder,0.9502907101807623,0.7392653313349868,Tak
nmi,20,cmae,0.8446861972569637,0.17829791391413197,Tak
nmi,20,masked_autoencoder,0.9651505426092932,0.8433110069613647,Tak
nmi,50,autoencoder,0.9416623383710427,0.677713883189097,Tak
nmi,50,cmae,0.9640424056854687,0.8358131484001812,Tak
nmi,50,masked_autoencoder,0.9384467891208635,0.65497882095134,Tak
ari,2,autoencoder,0.8006774940744419,0.08207024487238339,Tak
ari,2,cmae,0.8280247510108224,0.13444312839947697,Tak
ari,2,masked_autoencoder,0.7840998737408434,0.05974937168884199,Tak
ari,3,autoencoder,0.9358314598717989,0.6366372992234606,Tak
ari,3,cmae,0.9196363903352706,0.527596704234564,Tak
ari,3,masked_autoencoder,0.8825415685814757,0.32098726007988876,Tak
ari,4,autoencoder,0.8849578882740589,0.33238444266783834,Tak
ari,4,cmae,0.8818457378828075,0.31775884578801583,Tak
ari,4,masked_autoencoder,0.7354496704344282,0.021702319371546944,Nie
ari,5,autoencoder,0.8679517707455232,0.2582286939147362,Tak
ari,5,cmae,0.9220016678518766,0.5429342634405141,Tak
ari,5,masked_autoencoder,0.9317305812294953,0.6082186667083072,Tak
ari,10,autoencoder,0.8117737723773981,0.10072028547914647,Tak
ari,10,cmae,0.9486731355163976,0.7277061182297591,Tak
ari,10,masked_autoencoder,0.9371838849871758,0.6461031112529991,Tak
ari,20,autoencoder,0.9338438032076704,0.6228064150333088,Tak
ari,20,cmae,0.8104260762855873,0.09827846016077132,Tak
ari,20,masked_autoencoder,0.9446875287137573,0.6992394632104417,Tak
ari,50,autoencoder,0.8919231493169603,0.3668661001823894,Tak
ari,50,cmae,0.9203693010608245,0.5323249333717046,Tak
ari,50,masked_autoencoder,0.8801868503510837,0.3101585693231274,Tak
silhouette,2,autoencoder,0.9302701004898539,0.5982136010687095,Tak
silhouette,2,cmae,0.7541868401309738,0.032527239352462,Nie
silhouette,2,masked_autoencoder,0.9135411477337629,0.4891602213119399,Tak
silhouette,3,autoencoder,0.9300131631378801,0.5964602824437082,Tak
silhouette,3,cmae,0.980371033107028,0.9365941680687697,Tak
silhouette,3,masked_autoencoder,0.916751749097106,0.5092055356416247,Tak
silhouette,4,autoencoder,0.8789453770162141,0.30455924696786585,Tak
silhouette,4,cmae,0.8996977443786146,0.4082172056065827,Tak
silhouette,4,masked_autoencoder,0.9274636721819917,0.5791795356210321,Tak
silhouette,5,autoencoder,0.9493144944672374,0.7322900179223766,Tak
silhouette,5,cmae,0.8878248750003462,0.34628405405220597,Tak
silhouette,5,masked_autoencoder,0.7664808087705698,0.0419953860535411,Nie
silhouette,10,autoencoder,0.9596420671065071,0.8054885455338959,Tak
silhouette,10,cmae,0.9814779686799683,0.9423694552560139,Tak
silhouette,10,masked_autoencoder,0.9249610759085702,0.5624349919346971,Tak
silhouette,20,autoencoder,0.850249412300872,0.19530815928258227,Tak
silhouette,20,cmae,0.9006936880153016,0.4137314296552587,Tak
silhouette,20,masked_autoencoder,0.9427223590264613,0.6852441366871492,Tak
silhouette,50,autoencoder,0.9613001297595902,0.8170068222234852,Tak
silhouette,50,cmae,0.9099395996835865,0.4672275023926552,Tak
silhouette,50,masked_autoencoder,0.896477345093515,0.3907232312088109,Tak
dbi,2,autoencoder,0.8699179911232189,0.26609185835173965,Tak
dbi,2,cmae,0.7787308417053016,0.05375227963355555,Tak
dbi,2,masked_autoencoder,0.8780442882687732,0.300542428757709,Tak
dbi,3,autoencoder,0.8841873134777654,0.328718360498121,Tak
dbi,3,cmae,0.9339711313422621,0.6236893400325936,Tak
dbi,3,masked_autoencoder,0.9109251438153647,0.47316990511985074,Tak
dbi,4,autoencoder,0.785510193895144,0.061417866218384014,Tak
