metric,n_classes,model1,model2,mean1,mean2,p_raw,p_bonf,Istotne
nmi,2,autoencoder,cmae,0.08857645268949096,0.04942,0.42063492063492064,1.0,Nie
nmi,2,autoencoder,masked_autoencoder,0.08857645268949096,0.14132061918105138,0.15079365079365079,0.45238095238095233,Nie
nmi,2,cmae,masked_autoencoder,0.04942,0.14132061918105138,0.09523809523809523,0.2857142857142857,Nie
nmi,3,autoencoder,cmae,0.20456695387337928,0.11404,0.15079365079365079,0.45238095238095233,Nie
nmi,3,autoencoder,masked_autoencoder,0.20456695387337928,0.14198253308740144,0.6904761904761905,1.0,Nie
nmi,3,cmae,masked_autoencoder,0.11404,0.14198253308740144,0.30952380952380953,0.9285714285714286,Nie
nmi,4,autoencoder,cmae,0.1852178786250024,0.1123,0.05555555555555555,0.16666666666666666,Nie
nmi,4,autoencoder,masked_autoencoder,0.1852178786250024,0.14252236260763845,0.6904761904761905,1.0,Nie
nmi,4,cmae,masked_autoencoder,0.1123,0.14252236260763845,0.6904761904761905,1.0,Nie
nmi,5,autoencoder,cmae,0.17088013513539513,0.1453037207777103,0.42063492063492064,1.0,Nie
nmi,5,autoencoder,masked_autoencoder,0.17088013513539513,0.09883020020515657,0.15079365079365079,0.45238095238095233,Nie
nmi,5,cmae,masked_autoencoder,0.1453037207777103,0.09883020020515657,0.42063492063492064,1.0,Nie
nmi,10,autoencoder,cmae,0.16300671105190717,0.1477647918881516,0.15079365079365079,0.45238095238095233,Nie
nmi,10,autoencoder,masked_autoencoder,0.16300671105190717,0.1529475652676488,0.42063492063492064,1.0,Nie
nmi,10,cmae,masked_autoencoder,0.1477647918881516,0.1529475652676488,1.0,1.0,Nie
nmi,20,autoencoder,cmae,0.1810825866814347,0.16728350756087879,0.42063492063492064,1.0,Nie
nmi,20,autoencoder,masked_autoencoder,0.1810825866814347,0.15663352248159024,0.2222222222222222,0.6666666666666666,Nie
nmi,20,cmae,masked_autoencoder,0.16728350756087879,0.15663352248159024,0.6904761904761905,1.0,Nie
nmi,50,autoencoder,cmae,0.20944685899681748,0.21500801989940238,0.42063492063492064,1.0,Nie
nmi,50,autoencoder,masked_autoencoder,0.20944685899681748,0.18431682154154064,0.007936507936507936,0.023809523809523808,Tak
nmi,50,cmae,masked_autoencoder,0.21500801989940238,0.18431682154154064,0.007936507936507936,0.023809523809523808,Tak
ari,2,autoencoder,cmae,0.1090249311213265,0.04008,0.30952380952380953,0.9285714285714286,Nie
ari,2,autoencoder,masked_autoencoder,0.1090249311213265,0.17630103153625443,0.15079365079365079,0.45238095238095233,Nie
ari,2,cmae,masked_autoencoder,0.04008,0.17630103153625443,0.015873015873015872,0.047619047619047616,Tak
ari,3,autoencoder,cmae,0.20844366183308588,0.1101,0.15079365079365079,0.45238095238095233,Nie
ari,3,autoencoder,masked_autoencoder,0.20844366183308588,0.1455765731042654,0.42063492063492064,1.0,Nie
ari,3,cmae,masked_autoencoder,0.1101,0.1455765731042654,0.42063492063492064,1.0,Nie
ari,4,autoencoder,cmae,0.15669632599617947,0.08724000000000001,0.05555555555555555,0.16666666666666666,Nie
