metric,n_classes,H_stat,p_value,Istotny
nmi,2,3.6600000000000037,0.16041356777517243,Nie
nmi,5,4.340000000000003,0.11417761691083628,Nie
nmi,20,2.780000000000001,0.24907530463166805,Nie
ari,2,4.560000000000002,0.10228420671553735,Nie
ari,5,4.3799999999999955,0.11191674861732909,Nie
ari,20,3.920000000000009,0.1408584209210444,Nie
silhouette,2,3.3799999999999955,0.1845195239929897,Nie
silhouette,5,2.220000000000006,0.3295589610751879,Nie
silhouette,20,4.340000000000003,0.11417761691083628,Nie
dbi,2,4.820000000000007,0.08981529457224731,Nie
dbi,5,9.5,0.008651695203120634,Tak
dbi,20,3.1200000000000045,0.21013607120076422,Nie
