metric,n_classes,model,W_stat,p_value,normal
nmi,2,cmae_0.1,0.9284606904750157,0.5859116614681239,Tak
nmi,2,cmae_0.5,0.6737730566208063,0.004989109532787284,Nie
nmi,2,cmae_1.0,0.7767690411710902,0.051695606404632374,Tak
nmi,5,cmae_0.1,0.80402382911296,0.08735472168292932,Tak
nmi,5,cmae_0.5,0.9704474919490912,0.8781179382863169,Tak
nmi,5,cmae_1.0,0.955291592499372,0.7748764480009882,Tak
nmi,20,cmae_0.1,0.8337659517884131,0.14841376968561387,Tak
nmi,20,cmae_0.5,0.9811828256244075,0.940847313469055,Tak
nmi,20,cmae_1.0,0.8446861972569637,0.17829791391413197,Tak
ari,2,cmae_0.1,0.9483225765328775,0.7252004840527243,Tak
ari,2,cmae_0.5,0.6847877967155495,0.006593962326816562,Nie
ari,2,cmae_1.0,0.8280247510108224,0.13444312839947697,Tak
ari,5,cmae_0.1,0.8669375910142141,0.254243523911204,Tak
ari,5,cmae_0.5,0.8476894462366291,0.1873249159985741,Tak
ari,5,cmae_1.0,0.9220016678518766,0.5429342634405141,Tak
ari,20,cmae_0.1,0.8265483598376863,0.13103314981701752,Tak
ari,20,cmae_0.5,0.9278900377923772,0.5820543206696511,Tak
ari,20,cmae_1.0,0.8104260762855873,0.09827846016077132,Tak
silhouette,2,cmae_0.1,0.928464951763123,0.5859405070593707,Tak
silhouette,2,cmae_0.5,0.920762919696671,0.5348733636216084,Tak
silhouette,2,cmae_1.0,0.7541868401309738,0.032527239352462,Nie
silhouette,5,cmae_0.1,0.9438491308174366,0.6932637711908026,Tak
silhouette,5,cmae_0.5,0.8569761822383203,0.21759379609363655,Tak
silhouette,5,cmae_1.0,0.8878248750003462,0.34628405405220597,Tak
silhouette,20,cmae_0.1,0.8453667128043323,0.18031176741295302,Tak
silhouette,20,cmae_0.5,0.9002860874479721,0.4114687558012091,Tak
silhouette,20,cmae_1.0,0.9006936880153016,0.4137314296552587,Tak
dbi,2,cmae_0.1,0.9944727760877885,0.9927769187114703,Tak
dbi,2,cmae_0.5,0.8567910650892364,0.2169545569970303,Tak
dbi,2,cmae_1.0,0.7787308417053016,0.05375227963355555,Tak
dbi,5,cmae_0.1,0.8440491215214365,0.1764292222382216,Tak
dbi,5,cmae_0.5,0.9014562664717911,0.41798663865221736,Tak
dbi,5,cmae_1.0,0.9519511664837241,0.7511184886801527,Tak
dbi,20,cmae_0.1,0.889671458283273,0.35545384095396115,Tak
dbi,20,cmae_0.5,0.9166982406204289,0.5088677461353932,Tak
dbi,20,cmae_1.0,0.9858468356901592,0.9632374402399217,Tak
