metric,n_classes,model1,model2,mean1,mean2,p_raw,p_bonf,Istotne
nmi,2,cmae_0.1,cmae_0.5,0.25115001280000004,0.1497444658629083,0.42063492063492064,1.0,Nie
nmi,2,cmae_0.1,cmae_1.0,0.25115001280000004,0.04942,0.09523809523809523,0.2857142857142857,Nie
nmi,2,cmae_0.5,cmae_1.0,0.1497444658629083,0.04942,0.30952380952380953,0.9285714285714286,Nie
nmi,5,cmae_0.1,cmae_0.5,0.2483281615127971,0.1465185063670299,0.09523809523809523,0.2857142857142857,Nie
nmi,5,cmae_0.1,cmae_1.0,0.2483281615127971,0.1453037207777103,0.09523809523809523,0.2857142857142857,Nie
nmi,5,cmae_0.5,cmae_1.0,0.1465185063670299,0.1453037207777103,1.0,1.0,Nie
nmi,20,cmae_0.1,cmae_0.5,0.19116556703646262,0.2001281317902539,0.6904761904761905,1.0,Nie
nmi,20,cmae_0.1,cmae_1.0,0.19116556703646262,0.16728350756087879,0.30952380952380953,0.9285714285714286,Nie
nmi,20,cmae_0.5,cmae_1.0,0.2001281317902539,0.16728350756087879,0.15079365079365079,0.45238095238095233,Nie
ari,2,cmae_0.1,cmae_0.5,0.3045400524,0.17382187436347568,0.42063492063492064,1.0,Nie
ari,2,cmae_0.1,cmae_1.0,0.3045400524,0.04008,0.05555555555555555,0.16666666666666666,Nie
ari,2,cmae_0.5,cmae_1.0,0.17382187436347568,0.04008,0.2222222222222222,0.6666666666666666,Nie
ari,5,cmae_0.1,cmae_0.5,0.20922268215870568,0.10477873084986492,0.09523809523809523,0.2857142857142857,Nie
ari,5,cmae_0.1,cmae_1.0,0.20922268215870568,0.11488568798739207,0.09523809523809523,0.2857142857142857,Nie
ari,5,cmae_0.5,cmae_1.0,0.10477873084986492,0.11488568798739207,0.8412698412698413,1.0,Nie
ari,20,cmae_0.1,cmae_0.5,0.07048306140519564,0.0760477685076572,0.8412698412698413,1.0,Nie
ari,20,cmae_0.1,cmae_1.0,0.07048306140519564,0.058490378847087465,0.15079365079365079,0.45238095238095233,Nie
ari,20,cmae_0.5,cmae_1.0,0.0760477685076572,0.058490378847087465,0.09523809523809523,0.2857142857142857,Nie
silhouette,2,cmae_0.1,cmae_0.5,0.1416940314,0.16105039417743677,0.42063492063492064,1.0,Nie
silhouette,2,cmae_0.1,cmae_1.0,0.1416940314,0.18618,0.09523809523809523,0.2857142857142857,Nie
silhouette,2,cmae_0.5,cmae_1.0,0.16105039417743677,0.18618,0.42063492063492064,1.0,Nie
silhouette,5,cmae_0.1,cmae_0.5,0.12077947109937666,0.1396446451544761,0.30952380952380953,0.9285714285714286,Nie
silhouette,5,cmae_0.1,cmae_1.0,0.12077947109937666,0.13148837983608241,0.30952380952380953,0.9285714285714286,Nie
silhouette,5,cmae_0.5,cmae_1.0,0.1396446451544761,0.13148837983608241,0.42063492063492064,1.0,Nie
silhouette,20,cmae_0.1,cmae_0.5,0.07255927175283428,0.08504915386438365,0.2222222222222222,0.6666666666666666,Nie
silhouette,20,cmae_0.1,cmae_1.0,0.07255927175283428,0.08845939785242074,0.05555555555555555,0.16666666666666666,Nie
silhouette,20,cmae_0.5,cmae_1.0,0.08504915386438365,0.08845939785242074,0.5476190476190477,1.0,Nie
dbi,2,cmae_0.1,cmae_0.5,2.3633285346,2.1428262274624927,0.30952380952380953,0.9285714285714286,Nie
dbi,2,cmae_0.1,cmae_1.0,2.3633285346,1.7973,0.05555555555555555,0.16666666666666666,Nie
dbi,2,cmae_0.5,cmae_1.0,2.1428262274624927,1.7973,0.2222222222222222,0.6666666666666666,Nie
dbi,5,cmae_0.1,cmae_0.5,2.195561963294392,1.8141724948729643,0.007936507936507936,0.023809523809523808,Tak
dbi,5,cmae_0.1,cmae_1.0,2.195561963294392,1.850461925029245,0.007936507936507936,0.023809523809523808,Tak
dbi,5,cmae_0.5,cmae_1.0,1.8141724948729643,1.850461925029245,0.6904761904761905,1.0,Nie
dbi,20,cmae_0.1,cmae_0.5,2.2630234005918233,2.0797529246539788,0.6904761904761905,1.0,Nie
dbi,20,cmae_0.1,cmae_1.0,2.2630234005918233,1.972543469327657,0.15079365079365079,0.45238095238095233,Nie
dbi,20,cmae_0.5,cmae_1.0,2.0797529246539788,1.972543469327657,0.2222222222222222,0.6666666666666666,Nie
